file_type,filename,season,suffix
team,Registrations ｜ Big Apple Dodgeball - Wednesday ｜ Summer 2024_ ｜ LeagueLobster (11_11_2025 6：35：27 PM).html,Summer 2024,(Su24)
team,Registrations ｜ Big Apple Dodgeball - Wednesday ｜ WTNB Small Ball Fall 2024_ ｜ LeagueLobster (11_11_2025 6：34：51 PM).html,Fall 2024,(F24)
team,Registrations ｜ Big Apple Dodgeball - Wednesday ｜ WTNB Small Ball Winter 2024_ ｜ LeagueLobster (11_11_2025 6：34：51 PM).html,Winter 2024,(W24)
team,Registrations ｜ Big Apple Dodgeball - Wednesday ｜ WTNB Small Ball- Spring 2024_ ｜ LeagueLobster (11_11_2025 6：34：51 PM).html,Spring 2024,(S24)
team,Registrations ｜ Big Apple Dodgeball - Wednesday ｜ WTNB＋ Social - Winter 2025_ ｜ LeagueLobster (11_11_2025 6：34：51 PM).html,Winter 2025,(W25)
team,SoHoMos ｜ League and Tournament Scheduler by LeagueLobster (3_28_2026 2：25：26 PM).html,Winter 2026,(W26)
team,Stud Finder.html,Summer 2025,(Su25)
team,Swallow This ｜ League and Tournament Scheduler by LeagueLobster (3_28_2026 2：22：26 PM).html,Winter 2026,(W26)
team,The Bloody Marys.html,Summer 2025,(Su25)
team,The Ferry Ride-Hers 🚢 ｜ League and Tournament Scheduler by LeagueLobster (3_28_2026 2：25：36 PM).html,Winter 2026,(W26)
team,Tool Belt.html,Summer 2025,(Su25)
team,WouldPeckHer ｜ League and Tournament Scheduler by LeagueLobster (3_28_2026 2：22：57 PM).html,Winter 2026,(W26)
team,Yeti Set Go ｜ League and Tournament Scheduler by LeagueLobster (10_23_2025 1：12：15 PM).html,Fall 2025,(F25)
team,Yolked & Choked.html,Summer 2025,(Su25)
