Time,Team 1,Score 1,Team 2,Score 2,Outcome Only,Tournament,Number of Players
2/21/2024 20:50:00,blU-Haul (W24),1,Flint Flickers (W24),3,,,8
2/21/2024 20:50:00,Stupid Cupids (W24),0,H2-Ho (W24),3,,,8
2/21/2024 21:10:00,"Be Gay, Do Lime (W24)",0,Naughty Nympho Navy (W24),5,,,8
2/21/2024 21:10:00,Violent Violets (W24),2,Mommy’s DisappointMints (W24),4,,,8
2/28/2024 19:50:00,"Be Gay, Do Lime (W24)",5,The Orangynas (W24),0,,,8
2/28/2024 19:50:00,Stupid Cupids (W24),2,Flint Flickers (W24),3,,,8
2/28/2024 20:10:00,Mommy’s DisappointMints (W24),4,blU-Haul (W24),0,,,8
2/28/2024 20:10:00,Naughty Nympho Navy (W24),3,Violent Violets (W24),5,,,8
2/28/2024 20:30:00,Flint Flickers (W24),4,"Be Gay, Do Lime (W24)",1,,,8
2/28/2024 20:30:00,H2-Ho (W24),1,Green Beans (W24),3,,,8
2/28/2024 20:50:00,blU-Haul (W24),2,The Orangynas (W24),3,,,8
2/28/2024 20:50:00,Naughty Nympho Navy (W24),3,Stupid Cupids (W24),3,,,8
2/28/2024 21:10:00,H2-Ho (W24),4,Violent Violets (W24),1,,,8
2/28/2024 21:10:00,Mommy’s DisappointMints (W24),4,Green Beans (W24),0,,,8
3/6/2024 19:50:00,"Be Gay, Do Lime (W24)",1,blU-Haul (W24),3,,1,8
3/6/2024 19:50:00,The Orangynas (W24),3,Naughty Nympho Navy (W24),4,,1,8
3/6/2024 20:10:00,Flint Flickers (W24),4,Stupid Cupids (W24),1,,1,8
3/6/2024 20:10:00,Mommy’s DisappointMints (W24),2,Naughty Nympho Navy (W24),3,,1,8
3/6/2024 20:30:00,H2-Ho (W24),4,blU-Haul (W24),3,,1,8
3/6/2024 20:50:00,H2-Ho (W24),5,Violent Violets (W24),2,,1,8
3/6/2024 20:50:00,Naughty Nympho Navy (W24),2,Flint Flickers (W24),4,,1,8
3/6/2024 21:10:00,H2-Ho (W24),4,Flint Flickers (W24),3,,1,8
4/10/2024 19:20:00,Blue is the Warmest Dodgeball (S24),4,Blue-Footed Boobies (S24),1,,,8
4/10/2024 19:20:00,Red Dyke District (S24),0,Glacial Gushers (S24),5,,,8
4/10/2024 19:40:00,Inti-MINT-cy issues (S24),3,Let's Have a Kiwi (S24),2,,,8
4/10/2024 19:40:00,Purple Pounders (S24),4,Honey Nut Queerios (S24),3,,,8
