trial,value,K,initial_elo,tournament_multiplier
125,0.6438156874706207,444.69932144054405,1000.0,1.996648645529247
488,0.6438157062362877,444.312863656529,1000.0,2.0038159316799065
192,0.6438157522105338,445.3853451037978,1000.0,1.9991090246598033
435,0.643815765680088,445.30743794646827,1000.0,1.9908899181655966
386,0.6438157859909815,443.80154341119203,1000.0,1.99254518127963
380,0.6438158981358372,445.8111031436576,1000.0,2.0069969304865154
201,0.6438159060966716,445.29578044467206,1000.0,1.9804853138156124
171,0.6438159381995288,445.7878193806481,1000.0,1.9839054026979388
144,0.6438160603201512,444.4593830053478,1000.0,2.024826702289567
143,0.6438160719463648,444.0943532287194,1000.0,2.0247774361987063
242,0.6438161095567936,446.50722264032225,1000.0,2.0031561124078188
283,0.6438161555215219,442.55119007785675,1000.0,2.000383639303811
493,0.6438161907351366,446.35082817741824,1000.0,2.013945852083131
300,0.6438162042871118,446.6542990592278,1000.0,2.006190819009928
491,0.6438162088766537,446.5728939338837,1000.0,2.0094137384376074
142,0.6438162266151374,445.97487501083145,1000.0,2.021471552965795
133,0.6438163129500559,446.9910940159039,1000.0,1.9946400277920988
53,0.6438163648335248,446.8151503465548,1000.0,2.011810406606993
322,0.6438163787731219,445.17268351488747,1000.0,2.0323740558196666
428,0.6438165209553363,443.8955383929731,1000.0,2.0371138270083784
245,0.6438165670261768,445.4974822869178,1000.0,2.0353157757189257
352,0.6438166739056194,446.11469636949244,1000.0,1.960577371857511
195,0.6438166843342881,446.1378094995961,1000.0,2.033153476105013
280,0.6438167152758213,441.8053246786604,1000.0,1.985575157679133
342,0.6438167414932999,443.6230085966498,1000.0,1.9587719242676755
247,0.6438167535856127,447.0584863503275,1000.0,1.9688002917610021
437,0.6438167700152361,447.5523348283139,1000.0,1.9799530806471743
209,0.643816820102355,441.46767984153774,1000.0,1.9945711242947333
141,0.643816836565254,447.1457325387254,1000.0,2.0234831579012793
131,0.6438169557785763,446.770151756837,1000.0,2.0326355160435847
430,0.6438170215484706,447.3949494352353,1000.0,1.9660607523366063
154,0.6438170359292541,442.6277671369292,1000.0,2.0419514743414835
241,0.6438170418474681,441.5077195973916,1000.0,1.9799932681777106
479,0.6438170817904137,444.8052340916575,1000.0,1.9486234387226173
332,0.6438171046072334,444.18715373347055,1000.0,1.9492388992634595
164,0.6438171956844315,444.2704363291943,1000.0,2.051060596783593
191,0.6438172426530374,447.9843086168513,1000.0,1.971438265027505
458,0.6438173129271809,446.4465093651256,1000.0,1.9491824989464166
185,0.6438173262046037,448.31760428569896,1000.0,1.9793227575773011
496,0.6438173681149988,440.8032363530165,1000.0,2.015022807519361
279,0.6438174692220676,440.61891936939145,1000.0,2.0085099865097678
362,0.6438175640141779,440.6317422389515,1000.0,2.0185292762197578
117,0.643817579252349,448.7241408604963,1000.0,1.9869144511405303
345,0.6438176515938472,442.3043471979967,1000.0,1.951953573523137
319,0.6438179025347666,443.1990711626163,1000.0,1.94070738648587
173,0.6438180457314924,440.567321031666,1000.0,1.972675458254197
467,0.6438180634177181,446.3559503415754,1000.0,2.056856954559934
128,0.6438181054596345,447.13219730901653,1000.0,2.0507921300041825
417,0.6438182453962467,449.279765382993,1000.0,2.0092361182365006
91,0.6438182587162683,448.99012201694893,1000.0,2.021526528430339
290,0.6438184686773237,448.6104137650572,1000.0,2.036051492994779
