Time,Team 1,Score 1,Team 2,Score 2,Outcome Only,Tournament,Number of Players
2/9/2025 16:55:00,PATH to Poundtown,5,Big D (train) Energy,1,,,
2/12/2025 19:00:00,Ice Dykes,5,Red Light District,1,,,
2/12/2025 19:00:00,My Chemical Throwmance,1,Call Me Navy,2,,,
2/12/2025 19:20:00,Macaroni in a Pot,2,Buns of Teal,3,,,
2/12/2025 19:20:00,Mary Wannas,1,Dyke Dynasty,3,,,
2/12/2025 19:40:00,Charcoochie,1,Purple Pain,2,,,
2/12/2025 19:40:00,Pulp Friction,2,Ice Dykes,2,,,
2/12/2025 20:00:00,Dyke Dynasty,0,Red Light District,5,,,
2/12/2025 20:00:00,It's the cLIME,0,My Chemical Throwmance,4,,,
2/12/2025 20:20:00,Call Me Navy,2,Macaroni in a Pot,1,,,
2/12/2025 20:20:00,Mary Wannas,0,Charcoochie,3,,,
2/12/2025 20:40:00,Buns of Teal,4,Pulp Friction,1,,,
2/12/2025 20:40:00,Purple Pain,3,It's the cLIME,1,,,
2/16/2025 16:15:00,PATH to Poundtown,3,Sixual Tension,4,,,
2/16/2025 16:15:00,QTs,9,Big D (train) Energy,1,,,
2/16/2025 16:35:00,QTs,3,Sixual Tension,1,,,
2/16/2025 16:35:00,Reese's Pieces,0,2 Girls 1 Train,6,,,
2/16/2025 16:55:00,Big D (train) Energy,0,2 Girls 1 Train,10,,,
2/16/2025 16:55:00,PATH to Poundtown,5,Reese's Pieces,2,,,
2/19/2025 19:00:00,My Chemical Throwmance,5,Pulp Friction,0,,,
2/19/2025 19:00:00,Purple Pain,2,Buns of Teal,2,,,
2/19/2025 19:20:00,Ice Dykes,4,Dyke Dynasty,0,,,
2/19/2025 19:20:00,Mary Wannas,4,Call Me Navy,1,,,
2/19/2025 19:40:00,Buns of Teal,1,My Chemical Throwmance,4,,,
2/19/2025 19:40:00,Pulp Friction,2,Macaroni in a Pot,2,,,
2/19/2025 20:00:00,Dyke Dynasty,1,Charcoochie,3,,,
2/19/2025 20:00:00,Red Light District,2,It's the cLIME,3,,,
2/19/2025 20:20:00,Call Me Navy,2,Purple Pain,2,,,
2/19/2025 20:20:00,Macaroni in a Pot,1,Ice Dykes,3,,,
2/19/2025 20:40:00,Charcoochie,3,Red Light District,3,,,
2/19/2025 20:40:00,It's the cLIME,2,Mary Wannas,3,,,
2/23/2025 16:15:00,2 Girls 1 Train,4,PATH to Poundtown,2,,,
2/23/2025 16:15:00,Reese's Pieces,1,Big D (train) Energy,6,,,
2/23/2025 16:35:00,Big D (train) Energy,4,Sixual Tension,4,,,
2/23/2025 16:35:00,PATH to Poundtown,2,QTs,3,,,
2/23/2025 16:55:00,QTs,7,Reese's Pieces,0,,,
2/23/2025 16:55:00,Sixual Tension,4,2 Girls 1 Train,3,,,
2/26/2025 19:00:00,Call Me Navy,1,Red Light District,4,,,
2/26/2025 19:00:00,Charcoochie,3,Ice Dykes,1,,,
2/26/2025 19:20:00,Buns of Teal,3,Mary Wannas,2,,,
2/26/2025 19:20:00,My Chemical Throwmance,5,Macaroni in a Pot,1,,,
2/26/2025 19:40:00,Charcoochie,2,It's the cLIME,1,,,
2/26/2025 19:40:00,Pulp Friction,3,Purple Pain,1,,,
2/26/2025 20:00:00,Dyke Dynasty,4,Call Me Navy,0,,,
2/26/2025 20:00:00,Red Light District,1,Buns of Teal,6,,,
2/26/2025 20:20:00,Ice Dykes,3,My Chemical Throwmance,1,,,
2/26/2025 20:20:00,Mary Wannas,2,Pulp Friction,4,,,
2/26/2025 20:40:00,It's the cLIME,0,Dyke Dynasty,5,,,
2/26/2025 20:40:00,Purple Pain,3,Macaroni in a Pot,2,,,
3/2/2025 16:15:00,QTs,3,2 Girls 1 Train,3,,,
3/2/2025 16:15:00,Sixual Tension,4,PATH to Poundtown,3,,,
3/2/2025 16:35:00,Big D (train) Energy,3,QTs,4,,,
3/2/2025 16:35:00,Reese's Pieces,1,Sixual Tension,6,,,
3/2/2025 16:55:00,2 Girls 1 Train,7,Reese's Pieces,0,,,
3/2/2025 16:55:00,PATH to Poundtown,5,Big D (train) Energy,1,,,
3/5/2025 19:00:00,Call Me Navy,2,Charcoochie,3,,,
3/5/2025 19:00:00,Red Light District,2,Macaroni in a Pot,4,,,
3/5/2025 19:20:00,Dyke Dynasty,3,Pulp Friction,0,,,
3/5/2025 19:20:00,Mary Wannas,2,My Chemical Throwmance,2,,,
3/5/2025 19:40:00,Ice Dykes,1,Purple Pain,3,,,
3/5/2025 19:40:00,It's the cLIME,2,Call Me Navy,2,,,
3/5/2025 20:00:00,Charcoochie,1,Buns of Teal,3,,,
3/5/2025 20:00:00,Macaroni in a Pot,2,Mary Wannas,2,,,
3/5/2025 20:20:00,Purple Pain,3,My Chemical Throwmance,2,,,
3/5/2025 20:20:00,Red Light District,1,Pulp Friction,3,,,
3/5/2025 20:40:00,Buns of Teal,2,Dyke Dynasty,3,,,
3/5/2025 20:40:00,It's the cLIME,2,Ice Dykes,2,,,
3/9/2025 16:15:00,Big D (train) Energy,5,2 Girls 1 Train,2,,,
3/9/2025 16:15:00,QTs,4,PATH to Poundtown,1,,,
3/9/2025 16:35:00,Reese's Pieces,0,PATH to Poundtown,7,,,
3/9/2025 16:35:00,Sixual Tension,4,QTs,4,,,
3/9/2025 16:55:00,2 Girls 1 Train,4,Sixual Tension,5,,,
3/9/2025 16:55:00,Big D (train) Energy,8,Reese's Pieces,0,,,
3/12/2025 19:00:00,Call Me Navy,1,Ice Dykes,4,,,
3/12/2025 19:00:00,Purple Pain,2,Mary Wannas,4,,,
3/12/2025 19:20:00,Buns of Teal,2,It's the cLIME,2,,,
3/12/2025 19:20:00,Pulp Friction,3,Charcoochie,1,,,
3/12/2025 19:40:00,Macaroni in a Pot,3,Dyke Dynasty,2,,,
3/12/2025 19:40:00,My Chemical Throwmance,6,Red Light District,1,,,
3/12/2025 20:00:00,Mary Wannas,2,Ice Dykes,3,,,
3/12/2025 20:00:00,Pulp Friction,4,It's the cLIME,2,,,
3/12/2025 20:20:00,Buns of Teal,4,Call Me Navy,0,,,
3/12/2025 20:20:00,Red Light District,2,Purple Pain,3,,,
3/12/2025 20:40:00,Dyke Dynasty,0,My Chemical Throwmance,5,,,
3/12/2025 20:40:00,Macaroni in a Pot,2,Charcoochie,3,,,
3/16/2025 16:15:00,2 Girls 1 Train,9,Reese's Pieces,0,,1,
3/16/2025 16:15:00,PATH to Poundtown,4,Big D (train) Energy,2,,1,
3/16/2025 16:35:00,QTs,2,PATH to Poundtown,3,,1,
3/16/2025 16:35:00,Sixual Tension,2,2 Girls 1 Train,5,,1,
3/16/2025 16:55:00,PATH to Poundtown,5,2 Girls 1 Train,3,,1,
4/27/2025 16:35:00,Gaydes,7,Serving Cunt(ress),0,,,
4/27/2025 16:35:00,Thunder Cunts,3,DioNasties,3,,,
4/27/2025 16:55:00,Aphrodisiacs,1,Thunder Cunts,7,,,
4/27/2025 16:55:00,ur mom,4,DioNasties,2,,,
4/27/2025 17:15:00,Aphrodisiacs,2,Gaydes,4,,,
4/27/2025 17:15:00,ur mom,5,Serving Cunt(ress),2,,,
4/30/2025 19:00:00,Citrus Got Real,3,Dandy Lions,3,,,
4/30/2025 19:00:00,U-Haul Red-y,1,Extra Virgin Olive Oil,3,,,
4/30/2025 19:20:00,Hoedrangeas,1,Snowmosexuals,3,,,
4/30/2025 19:20:00,Winner Mintality,4,The Garden Hoes,0,,,
4/30/2025 19:40:00,Carrot Tops,2,Lavender Menaces,3,,,
4/30/2025 19:40:00,Pop-Off-y Seeds,2,Pink Peony Club,1,,,
4/30/2025 20:00:00,Dandy Lions,4,Extra Virgin Olive Oil,1,,,
4/30/2025 20:00:00,Snowmosexuals,3,Citrus Got Real,2,,,
4/30/2025 20:20:00,Lavender Menaces,3,Pop-Off-y Seeds,2,,,
4/30/2025 20:20:00,U-Haul Red-y,4,Pink Peony Club,1,,,
4/30/2025 20:40:00,Hoedrangeas,1,Winner Mintality,3,,,
4/30/2025 20:40:00,The Garden Hoes,3,Carrot Tops,1,,,
5/4/2025 16:35:00,DioNasties,4,Aphrodisiacs,1,,,
5/4/2025 16:35:00,Serving Cunt(ress),1,Thunder Cunts,5,,,
5/4/2025 16:55:00,Aphrodisiacs,3,ur mom,4,,,
5/4/2025 16:55:00,Thunder Cunts,5,Gaydes,0,,,
5/4/2025 17:15:00,Serving Cunt(ress),0,DioNasties,5,,,
5/4/2025 17:15:00,ur mom,5,Gaydes,0,,,
5/7/2025 19:00:00,Pop-Off-y Seeds,0,The Garden Hoes,5,,,
5/7/2025 19:00:00,Snowmosexuals,2,Dandy Lions,3,,,
5/7/2025 19:20:00,Extra Virgin Olive Oil,3,Winner Mintality,1,,,
5/7/2025 19:20:00,Lavender Menaces,2,U-Haul Red-y,3,,,
5/7/2025 19:40:00,Carrot Tops,4,Hoedrangeas,0,,,
5/7/2025 19:40:00,The Garden Hoes,2,Pink Peony Club,2,,,
5/7/2025 20:00:00,Citrus Got Real,0,Winner Mintality,3,,,
5/7/2025 20:00:00,U-Haul Red-y,1,Dandy Lions,3,,,
5/7/2025 20:20:00,Extra Virgin Olive Oil,2,Snowmosexuals,2,,,
5/7/2025 20:20:00,Hoedrangeas,2,Pop-Off-y Seeds,1,,,
5/7/2025 20:40:00,Citrus Got Real,3,Carrot Tops,2,,,
5/7/2025 20:40:00,Pink Peony Club,2,Lavender Menaces,0,,,
5/11/2025 16:35:00,Aphrodisiacs,8,Serving Cunt(ress),0,,,
5/11/2025 16:35:00,Gaydes,5,DioNasties,1,,,
5/11/2025 16:55:00,Aphrodisiacs,3,Thunder Cunts,4,,,
5/11/2025 16:55:00,DioNasties,4,ur mom,1,,,
5/11/2025 17:15:00,Serving Cunt(ress),2,Gaydes,6,,,
5/11/2025 17:15:00,Thunder Cunts,5,ur mom,2,,,
5/14/2025 19:00:00,Citrus Got Real,1,Pink Peony Club,2,,,
5/14/2025 19:00:00,Hoedrangeas,2,Lavender Menaces,3,,,
5/14/2025 19:20:00,Extra Virgin Olive Oil,2,Pop-Off-y Seeds,3,,,
5/14/2025 19:20:00,Winner Mintality,2,Dandy Lions,2,,,
5/14/2025 19:40:00,Carrot Tops,2,Extra Virgin Olive Oil,3,,,
5/14/2025 19:40:00,Pink Peony Club,4,Hoedrangeas,0,,,
5/14/2025 20:00:00,Lavender Menaces,4,The Garden Hoes,1,,,
5/14/2025 20:00:00,U-Haul Red-y,4,Snowmosexuals,1,,,
5/14/2025 20:20:00,Dandy Lions,2,Carrot Tops,2,,,
5/14/2025 20:20:00,Pop-Off-y Seeds,3,Citrus Got Real,1,,,
5/14/2025 20:40:00,The Garden Hoes,1,U-Haul Red-y,4,,,
5/14/2025 20:40:00,Winner Mintality,2,Snowmosexuals,2,,,
5/18/2025 16:35:00,DioNasties,2,Serving Cunt(ress),5,,,
5/18/2025 16:35:00,ur mom,2,Aphrodisiacs,5,,,
5/18/2025 16:55:00,Gaydes,4,Aphrodisiacs,2,,,
5/18/2025 16:55:00,Thunder Cunts,4,DioNasties,2,,,
5/18/2025 17:15:00,Gaydes,5,Thunder Cunts,2,,,
5/18/2025 17:15:00,Serving Cunt(ress),4,ur mom,4,,,
5/21/2025 19:00:00,Carrot Tops,1,Snowmosexuals,4,,,
5/21/2025 19:00:00,Extra Virgin Olive Oil,2,Lavender Menaces,1,,,
5/21/2025 19:20:00,Citrus Got Real,6,The Garden Hoes,0,,,
5/21/2025 19:20:00,Dandy Lions,4,Pink Peony Club,0,,,
5/21/2025 19:40:00,Snowmosexuals,5,Pop-Off-y Seeds,0,,,
5/21/2025 19:40:00,U-Haul Red-y,4,Hoedrangeas,1,,,
5/21/2025 20:00:00,Pink Peony Club,0,Extra Virgin Olive Oil,4,,,
5/21/2025 20:00:00,Winner Mintality,4,Carrot Tops,0,,,
5/21/2025 20:20:00,Lavender Menaces,0,Citrus Got Real,6,,,
5/21/2025 20:20:00,Pop-Off-y Seeds,0,Dandy Lions,6,,,
5/21/2025 20:40:00,The Garden Hoes,2,Hoedrangeas,2,,,
5/21/2025 20:40:00,Winner Mintality,3,U-Haul Red-y,2,,,
6/1/2025 16:35:00,Aphrodisiacs,0,DioNasties,5,,,
6/1/2025 16:35:00,Thunder Cunts,7,Serving Cunt(ress),0,,,
6/1/2025 16:55:00,DioNasties,3,Gaydes,2,,,
6/1/2025 16:55:00,ur mom,3,Thunder Cunts,3,,,
6/1/2025 17:15:00,Gaydes,1,ur mom,5,,,
6/1/2025 17:15:00,Serving Cunt(ress),5,Aphrodisiacs,0,,,
6/8/2025 16:35:00,DioNasties,3,Thunder Cunts,5,,,
6/8/2025 16:35:00,ur mom,6,Serving Cunt(ress),1,,,
6/8/2025 16:55:00,DioNasties,1,ur mom,5,,,
6/8/2025 16:55:00,Gaydes,7,Aphrodisiacs,0,,,
6/8/2025 17:15:00,Serving Cunt(ress),0,Gaydes,9,,,
6/8/2025 17:15:00,Thunder Cunts,5,Aphrodisiacs,1,,,
7/12/2025 8:55:00,Gridlock Boston,1,Empire Boston,6,,,
7/12/2025 9:20:00,Empire Boston,6,Big Apple Bottoms,0,,,
7/12/2025 10:35:00,Big Apple Bottoms,2,Gridlock Boston,4,,,
7/12/2025 12:25:00,Empire Boston,3,Subway Surfers,1,,1,
7/20/2025 15:30:00,Drill,2,Tool Belt,3,,,
7/20/2025 15:30:00,Stud Finder,3,Loose Screw,1,,,
7/20/2025 15:50:00,Loose Screw,2,Drill,3,,,
7/20/2025 15:50:00,Stud Finder,3,Tool Belt,2,,,
7/20/2025 16:10:00,Drill,3,Stud Finder,1,,,
7/20/2025 16:10:00,Tool Belt,3,Loose Screw,2,,,
7/23/2025 19:00:00,GayTorade,0,Dark Roast Doms,4,,,
7/23/2025 19:00:00,The Bloody Marys,1,Cinnamint Toast Munch,2,,,
7/23/2025 19:20:00,Green Eggs and Sam,2,Jolly Green Gays,3,,,
7/23/2025 19:20:00,Purple P***y Eaters,2,Ferociously Fruity Pebbles,2,,,
7/23/2025 19:40:00,Cinnamint Toast Munch,0,Yolked & Choked,4,,,
7/23/2025 19:40:00,Dark Roast Doms,3,Captain Munch,1,,,
7/23/2025 20:00:00,Ferociously Fruity Pebbles,0,The Bloody Marys,4,,,
7/23/2025 20:00:00,GayTorade,1,Purple P***y Eaters,3,,,
7/23/2025 20:20:00,Captain Munch,3,Jolly Green Gays,1,,,
7/23/2025 20:20:00,Yolked & Choked,3,Green Eggs and Sam,1,,,
7/27/2025 15:30:00,Loose Screw,2,Tool Belt,4,,,
7/27/2025 15:30:00,Stud Finder,3,Drill,2,,,
7/27/2025 15:50:00,Drill,0,Loose Screw,5,,,
7/27/2025 15:50:00,Tool Belt,3,Stud Finder,2,,,
7/27/2025 16:10:00,Loose Screw,0,Stud Finder,5,,,
7/27/2025 16:10:00,Tool Belt,1,Drill,4,,,
7/30/2025 19:00:00,Cinnamint Toast Munch,4,Green Eggs and Sam,0,,,
7/30/2025 19:00:00,GayTorade,1,Yolked & Choked,2,,,
7/30/2025 19:20:00,Dark Roast Doms,0,The Bloody Marys,3,,,
7/30/2025 19:20:00,Purple P***y Eaters,0,Captain Munch,5,,,
7/30/2025 19:40:00,Jolly Green Gays,0,Cinnamint Toast Munch,5,,,
7/30/2025 19:40:00,Yolked & Choked,3,Ferociously Fruity Pebbles,0,,,
7/30/2025 20:00:00,Captain Munch,4,Green Eggs and Sam,1,,,
7/30/2025 20:00:00,The Bloody Marys,0,GayTorade,3,,,
7/30/2025 20:20:00,Ferociously Fruity Pebbles,1,Jolly Green Gays,3,,,
7/30/2025 20:20:00,Purple P***y Eaters,3,Dark Roast Doms,0,,,
8/3/2025 15:30:00,Drill,2,Stud Finder,3,,,
8/3/2025 15:30:00,Loose Screw,3,Tool Belt,2,,,
8/3/2025 15:50:00,Drill,1,Tool Belt,4,,,
8/3/2025 15:50:00,Stud Finder,4,Loose Screw,1,,,
8/3/2025 16:10:00,Loose Screw,3,Drill,2,,,
8/3/2025 16:10:00,Tool Belt,5,Stud Finder,1,,,
8/6/2025 19:00:00,Jolly Green Gays,2,GayTorade,2,,,
8/6/2025 19:00:00,The Bloody Marys,1,Captain Munch,2,,,
8/6/2025 19:20:00,Ferociously Fruity Pebbles,1,Cinnamint Toast Munch,3,,,
8/6/2025 19:20:00,Purple P***y Eaters,4,Yolked & Choked,2,,,
8/6/2025 19:40:00,Dark Roast Doms,2,Jolly Green Gays,3,,,
8/6/2025 19:40:00,GayTorade,1,Green Eggs and Sam,3,,,
8/6/2025 20:00:00,Captain Munch,1,Cinnamint Toast Munch,1,,,
8/6/2025 20:00:00,The Bloody Marys,1,Purple P***y Eaters,3,,,
8/6/2025 20:20:00,Green Eggs and Sam,1,Ferociously Fruity Pebbles,2,,,
8/6/2025 20:20:00,Yolked & Choked,2,Dark Roast Doms,4,,,
8/10/2025 15:30:00,Loose Screw,3,Stud Finder,2,,,
8/10/2025 15:30:00,Tool Belt,3,Drill,2,,,
8/10/2025 15:50:00,Drill,3,Loose Screw,1,,,
8/10/2025 15:50:00,Stud Finder,2,Tool Belt,1,,,
8/10/2025 16:10:00,Stud Finder,4,Drill,1,,,
8/10/2025 16:10:00,Tool Belt,2,Loose Screw,1,,,
8/10/2025 17:00:00,Better Late Than Never,0,Clit Bait Tourney,5,,,
8/10/2025 17:00:00,Sizzorhood,2,Sticky Fingers,3,,,
8/10/2025 17:25:00,Clit Bait Tourney,4,The Fantastic Flore,1,,,
8/10/2025 17:25:00,Sticky Fingers,4,Substantial Women,2,,,
8/10/2025 17:50:00,Sizzorhood,3,Better Late Than Never,2,,,
8/10/2025 17:50:00,Substantial Women,5,The Fantastic Flore,2,,,
8/10/2025 18:15:00,Better Late Than Never,4,Sticky Fingers,1,,,
8/10/2025 18:15:00,Substantial Women,5,Clit Bait Tourney,2,,,
8/10/2025 18:55:00,Better Late Than Never,4,Substantial Women,2,,,
8/10/2025 18:55:00,The Fantastic Flore,2,Sizzorhood,3,,,
8/10/2025 19:20:00,Sizzorhood,5,Clit Bait Tourney,1,,,
8/10/2025 19:20:00,Sticky Fingers,4,The Fantastic Flore,1,,,
8/10/2025 19:45:00,Clit Bait Tourney,4,Sticky Fingers,2,,,
8/10/2025 19:45:00,Substantial Women,2,Sizzorhood,5,,,
8/10/2025 20:10:00,The Fantastic Flore,5,Better Late Than Never,1,,,
8/13/2025 19:00:00,Captain Munch,4,Ferociously Fruity Pebbles,1,,,
8/13/2025 19:00:00,Jolly Green Gays,3,Purple P***y Eaters,1,,,
8/13/2025 19:20:00,Cinnamint Toast Munch,4,GayTorade,0,,,
8/13/2025 19:20:00,Green Eggs and Sam,2,Dark Roast Doms,2,,,
8/13/2025 19:40:00,Jolly Green Gays,1,The Bloody Marys,2,,,
8/13/2025 19:40:00,Yolked & Choked,1,Captain Munch,3,,,
8/13/2025 20:00:00,GayTorade,2,Ferociously Fruity Pebbles,2,,,
8/13/2025 20:00:00,Green Eggs and Sam,2,Purple P***y Eaters,1,,,
8/13/2025 20:20:00,Dark Roast Doms,1,Cinnamint Toast Munch,2,,,
8/13/2025 20:20:00,Yolked & Choked,1,The Bloody Marys,4,,,
8/17/2025 15:30:00,Drill,2,Stud Finder,2,,,
8/17/2025 15:30:00,Loose Screw,2,Tool Belt,1,,,
8/17/2025 15:50:00,Drill,0,Tool Belt,5,,,
8/17/2025 15:50:00,Stud Finder,3,Loose Screw,1,,,
8/17/2025 16:10:00,Loose Screw,0,Drill,3,,,
8/17/2025 16:10:00,Tool Belt,3,Stud Finder,1,,,
8/17/2025 17:00:00,Sticky Fingers,1,The Fantastic Flore,0,1,1,
8/17/2025 17:00:00,Substantial Women,1,Better Late Than Never,0,1,1,
8/17/2025 17:25:00,Sticky Fingers,0,Clit Bait Tourney,1,1,1,
8/17/2025 17:25:00,Substantial Women,1,Sizzorhood,0,1,1,
8/17/2025 17:50:00,Sticky Fingers,1,Better Late Than Never,0,1,1,
8/17/2025 17:50:00,The Fantastic Flore,0,Sizzorhood,1,1,1,
8/17/2025 18:15:00,Sticky Fingers,1,Sizzorhood,0,1,1,
8/17/2025 18:15:00,Substantial Women,0,Clit Bait Tourney,1,1,1,
8/17/2025 18:40:00,Substantial Women,1,Sticky Fingers,0,1,1,
8/17/2025 19:05:00,Substantial Women,0,Clit Bait Tourney,1,1,1,
8/20/2025 19:00:00,Captain Munch,2,GayTorade,2,,,
8/20/2025 19:00:00,Yolked & Choked,2,Jolly Green Gays,3,,,
8/20/2025 19:20:00,Cinnamint Toast Munch,4,The Bloody Marys,2,,,
8/20/2025 19:20:00,Ferociously Fruity Pebbles,2,Purple P***y Eaters,2,,,
8/20/2025 19:40:00,Dark Roast Doms,5,GayTorade,1,,,
8/20/2025 19:40:00,Green Eggs and Sam,3,Yolked & Choked,1,,,
8/20/2025 20:00:00,Jolly Green Gays,3,Captain Munch,1,,,
8/20/2025 20:00:00,Purple P***y Eaters,0,Cinnamint Toast Munch,4,,,
8/20/2025 20:20:00,Ferociously Fruity Pebbles,0,Dark Roast Doms,3,,,
8/20/2025 20:20:00,The Bloody Marys,1,Green Eggs and Sam,1,,,
8/24/2025 15:30:00,Drill,1,Loose Screw,2,,,
8/24/2025 15:30:00,Stud Finder,2,Tool Belt,2,,,
8/24/2025 15:50:00,Stud Finder,4,Drill,1,,,
8/24/2025 15:50:00,Tool Belt,3,Loose Screw,2,,,
8/24/2025 16:10:00,Loose Screw,2,Stud Finder,2,,,
8/24/2025 16:10:00,Tool Belt,3,Drill,2,,,
8/27/2025 19:00:00,Green Eggs and Sam,0,GayTorade,1,1,1,
8/27/2025 19:00:00,Yolked & Choked,1,Ferociously Fruity Pebbles,0,1,1,
8/27/2025 19:20:00,Dark Roast Doms,0,Purple P***y Eaters,1,1,1,
8/27/2025 19:20:00,Jolly Green Gays,1,The Bloody Marys,0,1,1,
8/27/2025 19:40:00,Captain Munch,0,Yolked & Choked,1,1,1,
8/27/2025 19:40:00,Cinnamint Toast Munch,1,GayTorade,0,1,1,
8/27/2025 20:00:00,Dark Roast Doms,1,Ferociously Fruity Pebbles,0,1,1,
8/27/2025 20:00:00,Green Eggs and Sam,1,The Bloody Marys,0,1,1,
8/27/2025 20:20:00,Cinnamint Toast Munch,0,Purple P***y Eaters,1,1,1,
8/27/2025 20:20:00,Yolked & Choked,1,Jolly Green Gays,0,1,1,
8/27/2025 20:40:00,Green Eggs and Sam,1,Dark Roast Doms,0,1,1,
8/27/2025 20:40:00,Purple P***y Eaters,1,Yolked & Choked,0,1,1,
8/29/2025 12:03:00,Gridlock Nola,1,Empire Nola,3,,1,
9/7/2025 15:30:00,Stud Finder,3,Loose Screw,1,,1,
9/7/2025 15:30:00,Tool Belt,2,Drill,3,,1,
9/7/2025 15:50:00,Loose Screw,3,Tool Belt,2,,1,
9/7/2025 15:50:00,Stud Finder,5,Drill,0,,1,
9/7/2025 16:10:00,Loose Screw,1,Drill,0,1,1,
9/7/2025 16:30:00,Stud Finder,1,Loose Screw,0,1,1,
10/12/2025 15:30:00,Gengar,5,Charmander,1,,,
10/12/2025 15:30:00,Lickitung,2,Articuno,3,,,
10/12/2025 15:50:00,Cubone,1,Gengar,4,,,
10/12/2025 16:10:00,Charmander,2,Articuno,4,,,
10/12/2025 16:10:00,Lickitung,3,Cubone,3,,,
10/19/2025 15:30:00,Charmander,3,Cubone,2,,,
10/19/2025 15:30:00,Gengar,3,Lickitung,2,,,
10/19/2025 15:50:00,Cubone,2,Articuno,3,,,
10/19/2025 16:10:00,Articuno,1,Gengar,4,,,
10/19/2025 16:10:00,Lickitung,3,Charmander,3,,,
10/26/2025 15:30:00,Articuno,3,Lickitung,3,,,
10/26/2025 15:30:00,Gengar,2,Cubone,5,,,
10/26/2025 15:50:00,Articuno,3,Charmander,4,,,
10/26/2025 16:10:00,Charmander,5,Gengar,1,,,
10/26/2025 16:10:00,Cubone,2,Lickitung,3,,,
10/29/2025 19:00:00,Cunt Dracula,1,Count Von Cunt,2,,,
10/29/2025 19:00:00,Howlsexuals,5,Dykeness Monsters,1,,,
10/29/2025 19:20:00,And They Were Broomates,1,Hump Her Stiltskin,2,,,
10/29/2025 19:20:00,Peach Gobblers,3,Fearmint,3,,,
10/29/2025 19:40:00,Count Von Cunt,2,Yeti Set Go,2,,,
10/29/2025 19:40:00,Dykeness Monsters,1,Ghouls Gone Wild,6,,,
10/29/2025 20:00:00,Fearmint,2,And They Were Broomates,1,,,
10/29/2025 20:00:00,Howlsexuals,4,Cunt Dracula,1,,,
10/29/2025 20:20:00,Ghouls Gone Wild,2,Hump Her Stiltskin,3,,,
10/29/2025 20:20:00,Yeti Set Go,3,Peach Gobblers,2,,,
11/2/2025 15:30:00,Charmander,5,Lickitung,1,,,
11/2/2025 15:30:00,Gengar,5,Articuno,0,,,
11/2/2025 15:50:00,Cubone,2,Charmander,5,,,
11/2/2025 16:10:00,Cubone,5,Articuno,1,,,
11/2/2025 16:10:00,Lickitung,2,Gengar,3,,,
11/5/2025 19:00:00,Ghouls Gone Wild,1,And They Were Broomates,4,,,
11/5/2025 19:00:00,Hump Her Stiltskin,1,Peach Gobblers,2,,,
11/5/2025 19:20:00,Dykeness Monsters,2,Yeti Set Go,3,,,
11/5/2025 19:20:00,Howlsexuals,4,Fearmint,1,,,
11/5/2025 19:40:00,Count Von Cunt,0,Hump Her Stiltskin,4,,,
11/5/2025 19:40:00,Cunt Dracula,1,Ghouls Gone Wild,4,,,
11/5/2025 20:00:00,Peach Gobblers,3,And They Were Broomates,1,,,
11/5/2025 20:00:00,Yeti Set Go,0,Howlsexuals,4,,,
11/5/2025 20:20:00,Cunt Dracula,4,Dykeness Monsters,1,,,
11/5/2025 20:20:00,Fearmint,3,Count Von Cunt,1,,,
11/8/2025 9:00:00,Clit Bait Charity,1,Wetness Protection Program,3,,,
11/8/2025 9:00:00,Gridlock Charity,2,Itty Bitty Char(titty) Committee,1,,,
11/8/2025 9:20:00,Mixed Bag,0,Service Tops,2,,,
11/8/2025 9:20:00,Wetness Protection Program,3,Gridlock Charity,0,,,
11/8/2025 9:40:00,Clit Bait Charity,3,Mixed Bag,0,,,
11/8/2025 9:40:00,Service Tops,3,Itty Bitty Char(titty) Committee,0,,,
11/8/2025 10:00:00,Itty Bitty Char(titty) Committee,2,Clit Bait Charity,2,,,
11/8/2025 10:00:00,Mixed Bag,0,Wetness Protection Program,5,,,
11/8/2025 10:20:00,Gridlock Charity,2,Service Tops,1,,,
11/8/2025 10:20:00,Wetness Protection Program,2,Itty Bitty Char(titty) Committee,0,,,
11/8/2025 10:40:00,Clit Bait Charity,3,Service Tops,1,,,
11/8/2025 10:40:00,Mixed Bag,0,Gridlock Charity,3,,,
11/8/2025 11:00:00,Itty Bitty Char(titty) Committee,2,Mixed Bag,1,,,
11/8/2025 11:00:00,Service Tops,0,Wetness Protection Program,4,,,
11/8/2025 11:20:00,Gridlock Charity,2,Clit Bait Charity,2,,,
11/8/2025 11:50:00,Clit Bait Charity,2,Mixed Bag,0,,1,
11/8/2025 11:50:00,Service Tops,1,Itty Bitty Char(titty) Committee,2,,1,
11/8/2025 12:10:00,Gridlock Charity,0,Clit Bait Charity,2,,1,
11/8/2025 12:10:00,Wetness Protection Program,2,Itty Bitty Char(titty) Committee,0,,1,
11/8/2025 12:30:00,Wetness Protection Program,3,Clit Bait Charity,1,,1,
