Time,Team 1,Score 1,Team 2,Score 2,Outcome Only,Tournament,Number of Players
2/28/2024 21:10:00,H2-Ho,4,Violent Violets,1,,,
2/28/2024 21:10:00,Mommy’s DisappointMints,4,Green Beans,0,,,
3/6/2024 19:50:00,"Be Gay, Do Lime",1,blU-Haul,3,,1,
3/6/2024 19:50:00,The Orangynas,3,Naughty Nympho Navy,4,,1,
3/6/2024 20:10:00,Flint Flickers,4,Stupid Cupids,1,,1,
3/6/2024 20:10:00,Mommy’s DisappointMints,2,Naughty Nympho Navy,3,,1,
3/6/2024 20:30:00,H2-Ho,4,blU-Haul,3,,1,
3/6/2024 20:30:00,Violent Violets,4,Green Beans,3,,1,
3/6/2024 20:50:00,H2-Ho,5,Violent Violets,2,,1,
3/6/2024 20:50:00,Naughty Nympho Navy,2,Flint Flickers,4,,1,
3/6/2024 21:10:00,H2-Ho,4,Flint Flickers,3,,1,
4/10/2024 19:20:00,Blue is the Warmest Dodgeball,4,Blue-Footed Boobies,1,,,
4/10/2024 19:20:00,Red Dyke District,0,Glacial Gushers,5,,,
4/10/2024 19:40:00,Inti-MINT-cy issues,3,Let's Have a Kiwi,2,,,
4/10/2024 19:40:00,Purple Pounders,4,Honey Nut Queerios,3,,,
4/10/2024 20:00:00,Blue-Footed Boobies,3,Lemon Drop Thots,3,,,
4/10/2024 20:00:00,Bubblegum Bitches,2,Blue is the Warmest Dodgeball,3,,,
4/10/2024 20:20:00,Glacial Gushers,3,Honey Nut Queerios,3,,,
4/10/2024 20:20:00,Let's Have a Kiwi,2,Red Dyke District,3,,,
4/10/2024 20:40:00,Bubblegum Bitches,0,Inti-MINT-cy issues,6,,,
4/10/2024 20:40:00,Lemon Drop Thots,3,Purple Pounders,4,,,
4/17/2024 19:20:00,Honey Nut Queerios,4,Let's Have a Kiwi,3,,,
4/17/2024 19:20:00,Red Dyke District,3,Bubblegum Bitches,2,,,
4/17/2024 19:40:00,Inti-MINT-cy issues,4,Blue-Footed Boobies,2,,,
4/17/2024 19:40:00,Purple Pounders,1,Glacial Gushers,5,,,
4/17/2024 20:00:00,Bubblegum Bitches,2,Honey Nut Queerios,2,,,
4/17/2024 20:00:00,Lemon Drop Thots,4,Blue is the Warmest Dodgeball,1,,,
4/17/2024 20:20:00,Blue-Footed Boobies,5,Red Dyke District,3,,,
4/17/2024 20:20:00,Let's Have a Kiwi,0,Glacial Gushers,6,,,
4/17/2024 20:40:00,Blue is the Warmest Dodgeball,2,Purple Pounders,3,,,
4/17/2024 20:40:00,Lemon Drop Thots,0,Inti-MINT-cy issues,6,,,
4/24/2024 19:20:00,Glacial Gushers,3,Bubblegum Bitches,4,,,
4/24/2024 19:20:00,Red Dyke District,3,Lemon Drop Thots,2,,,
4/24/2024 19:40:00,Honey Nut Queerios,5,Blue-Footed Boobies,2,,,
4/24/2024 19:40:00,Inti-MINT-cy issues,6,Purple Pounders,1,,,
4/24/2024 20:00:00,Blue is the Warmest Dodgeball,3,Red Dyke District,3,,,
4/24/2024 20:00:00,Bubblegum Bitches,3,Let's Have a Kiwi,3,,,
4/24/2024 20:20:00,Blue-Footed Boobies,2,Glacial Gushers,3,,,
4/24/2024 20:20:00,Lemon Drop Thots,1,Honey Nut Queerios,5,,,
4/24/2024 20:40:00,Inti-MINT-cy issues,5,Blue is the Warmest Dodgeball,0,,,
4/24/2024 20:40:00,Purple Pounders,1,Let's Have a Kiwi,5,,,
5/1/2024 19:20:00,Inti-MINT-cy issues,4,Honey Nut Queerios,1,,,
5/1/2024 19:20:00,Let's Have a Kiwi,3,Blue-Footed Boobies,2,,,
5/1/2024 19:40:00,Blue is the Warmest Dodgeball,2,Glacial Gushers,6,,,
5/1/2024 19:40:00,Purple Pounders,3,Bubblegum Bitches,2,,,
5/1/2024 20:00:00,Lemon Drop Thots,1,Let's Have a Kiwi,4,,,
5/1/2024 20:00:00,Red Dyke District,2,Inti-MINT-cy issues,3,,,
5/1/2024 20:20:00,Blue-Footed Boobies,6,Bubblegum Bitches,1,,,
5/1/2024 20:20:00,Honey Nut Queerios,4,Blue is the Warmest Dodgeball,0,,,
5/1/2024 20:40:00,Glacial Gushers,4,Lemon Drop Thots,1,,,
5/1/2024 20:40:00,Red Dyke District,2,Purple Pounders,6,,,
5/8/2024 19:20:00,Honey Nut Queerios,7,Red Dyke District,0,,,
5/8/2024 19:20:00,Purple Pounders,4,Blue-Footed Boobies,2,,,
5/8/2024 19:40:00,Blue is the Warmest Dodgeball,1,Bubblegum Bitches,4,,,
5/8/2024 19:40:00,Let's Have a Kiwi,2,Inti-MINT-cy issues,3,,,
5/8/2024 20:00:00,Glacial Gushers,6,Red Dyke District,0,,,
5/8/2024 20:00:00,Lemon Drop Thots,4,Blue-Footed Boobies,3,,,
5/8/2024 20:20:00,Honey Nut Queerios,3,Purple Pounders,2,,,
5/8/2024 20:20:00,Let's Have a Kiwi,2,Blue is the Warmest Dodgeball,4,,,
5/8/2024 20:40:00,Bubblegum Bitches,2,Lemon Drop Thots,3,,,
5/8/2024 20:40:00,Glacial Gushers,2,Inti-MINT-cy issues,3,,,
5/15/2024 19:50:00,Honey Nut Queerios,2,Glacial Gushers,4,,,
5/15/2024 19:50:00,Red Dyke District,2,Let's Have a Kiwi,3,,,
5/15/2024 20:10:00,Inti-MINT-cy issues,5,Bubblegum Bitches,2,,,
5/15/2024 20:10:00,Purple Pounders,4,Lemon Drop Thots,3,,,
5/15/2024 20:30:00,Blue-Footed Boobies,7,Blue is the Warmest Dodgeball,2,,,
5/15/2024 20:30:00,Let's Have a Kiwi,2,Honey Nut Queerios,4,,,
5/15/2024 20:50:00,Bubblegum Bitches,2,Red Dyke District,4,,,
5/15/2024 20:50:00,Glacial Gushers,3,Purple Pounders,3,,,
5/15/2024 21:10:00,Blue is the Warmest Dodgeball,1,Lemon Drop Thots,4,,,
5/15/2024 21:10:00,Blue-Footed Boobies,3,Inti-MINT-cy issues,4,,,
7/10/2024 19:20:00,bratz,1,Royal Pain in the Ice,3,,,
7/10/2024 19:20:00,Idina Mintzels,3,S*xual Tealing,3,,,
7/10/2024 19:40:00,GAYtors,1,Big Eggplant Energy,2,,,
7/10/2024 19:40:00,the dodgefathers,2,C*Mquats,2,,,
7/10/2024 20:00:00,Ice To Go,0,Midnight Snack,6,,,
7/10/2024 20:00:00,Red For Filth,5,Idina Mintzels,0,,,
7/10/2024 20:20:00,Big Eggplant Energy,2,Royal Pain in the Ice,2,,,
7/10/2024 20:20:00,S*xual Tealing,2,Citrus on My Face,3,,,
7/10/2024 20:40:00,C*Mquats,3,bratz,1,,,
7/10/2024 20:40:00,Midnight Snack,4,GAYtors,0,,,
7/17/2024 19:20:00,Citrus on My Face,0,Red For Filth,5,,,
7/17/2024 19:20:00,Idina Mintzels,0,C*Mquats,4,,,
7/17/2024 19:40:00,GAYtors,2,Ice To Go,2,,,
7/17/2024 19:40:00,Royal Pain in the Ice,3,the dodgefathers,2,,,
7/17/2024 20:00:00,Big Eggplant Energy,1,bratz,3,,,
7/17/2024 20:00:00,Midnight Snack,4,S*xual Tealing,1,,,
7/17/2024 20:10:00,bratz,3,the dodgefathers,2,,,
7/17/2024 20:20:00,C*Mquats,2,Citrus on My Face,2,,,
7/17/2024 20:20:00,Royal Pain in the Ice,3,Idina Mintzels,2,,,
7/17/2024 20:40:00,Red For Filth,2,Midnight Snack,2,,,
7/17/2024 20:40:00,S*xual Tealing,2,GAYtors,2,,,
7/17/2024 20:50:00,Big Eggplant Energy,0,Ice To Go,5,,,
7/24/2024 19:30:00,Ice To Go,1,S*xual Tealing,3,,,
7/24/2024 19:30:00,Idina Mintzels,3,bratz,1,,,
7/24/2024 19:50:00,Big Eggplant Energy,2,the dodgefathers,3,,,
7/24/2024 19:50:00,GAYtors,0,Red For Filth,3,,,
7/24/2024 20:10:00,bratz,0,Citrus on My Face,4,,,
7/24/2024 20:10:00,Royal Pain in the Ice,0,Midnight Snack,4,,,
7/24/2024 20:30:00,C*Mquats,2,GAYtors,3,,,
7/24/2024 20:30:00,Red For Filth,2,Ice To Go,2,,,
7/24/2024 20:50:00,Big Eggplant Energy,4,S*xual Tealing,0,,,
7/24/2024 20:50:00,the dodgefathers,5,Idina Mintzels,0,,,
7/24/2024 21:10:00,Citrus on My Face,1,Royal Pain in the Ice,2,,,
7/24/2024 21:10:00,Midnight Snack,2,C*Mquats,2,,,
7/31/2024 19:30:00,Idina Mintzels,1,Citrus on My Face,3,,,
7/31/2024 19:30:00,Royal Pain in the Ice,3,Ice To Go,2,,,
7/31/2024 19:50:00,bratz,2,GAYtors,2,,,
7/31/2024 19:50:00,S*xual Tealing,0,Red For Filth,4,,,
7/31/2024 20:10:00,Ice To Go,2,C*Mquats,3,,,
7/31/2024 20:10:00,Idina Mintzels,4,Big Eggplant Energy,1,,,
7/31/2024 20:30:00,Citrus on My Face,0,the dodgefathers,4,,,
7/31/2024 20:30:00,Midnight Snack,4,bratz,1,,,
7/31/2024 20:50:00,C*Mquats,2,S*xual Tealing,3,,,
7/31/2024 20:50:00,GAYtors,1,Royal Pain in the Ice,3,,,
7/31/2024 21:10:00,Big Eggplant Energy,2,Red For Filth,3,,,
7/31/2024 21:10:00,the dodgefathers,2,Midnight Snack,2,,,
8/7/2024 19:30:00,Citrus on My Face,1,Big Eggplant Energy,6,,,
8/7/2024 19:30:00,Red For Filth,2,C*Mquats,2,,,
8/7/2024 19:50:00,bratz,2,S*xual Tealing,2,,,
8/7/2024 19:50:00,Midnight Snack,2,Idina Mintzels,3,,,
8/7/2024 20:10:00,Royal Pain in the Ice,0,Red For Filth,2,,,
8/7/2024 20:10:00,the dodgefathers,3,Ice To Go,1,,,
8/7/2024 20:30:00,Citrus on My Face,2,Midnight Snack,2,,,
8/7/2024 20:30:00,Idina Mintzels,1,GAYtors,4,,,
8/7/2024 20:50:00,Big Eggplant Energy,1,C*Mquats,5,,,
8/7/2024 20:50:00,bratz,2,Ice To Go,2,,,
8/7/2024 21:10:00,GAYtors,2,the dodgefathers,2,,,
8/7/2024 21:10:00,S*xual Tealing,2,Royal Pain in the Ice,3,,,
8/14/2024 19:30:00,Ice To Go,1,Citrus on My Face,5,,,
8/14/2024 19:30:00,Red For Filth,3,bratz,1,,,
8/14/2024 19:50:00,C*Mquats,3,Royal Pain in the Ice,3,,,
8/14/2024 19:50:00,S*xual Tealing,3,the dodgefathers,2,,,
8/14/2024 20:10:00,Ice To Go,3,Idina Mintzels,2,,,
8/14/2024 20:10:00,Midnight Snack,3,Big Eggplant Energy,2,,,
8/14/2024 20:30:00,GAYtors,5,Citrus on My Face,1,,,
8/14/2024 20:30:00,the dodgefathers,2,Red For Filth,3,,,
8/14/2024 20:50:00,bratz,1,C*Mquats,4,,,
8/14/2024 20:50:00,S*xual Tealing,4,Idina Mintzels,0,,,
8/14/2024 21:10:00,GAYtors,3,Midnight Snack,1,,,
8/14/2024 21:10:00,Royal Pain in the Ice,3,Big Eggplant Energy,1,,,
8/21/2024 19:30:00,Ice To Go,1,GAYtors,3,,,
8/21/2024 19:30:00,Red For Filth,3,Citrus on My Face,1,,,
8/21/2024 19:50:00,bratz,1,Big Eggplant Energy,3,,,
8/21/2024 19:50:00,the dodgefathers,0,Royal Pain in the Ice,6,,,
8/21/2024 20:10:00,C*Mquats,3,Idina Mintzels,2,,,
8/21/2024 20:10:00,Midnight Snack,1,Ice To Go,4,,,
8/21/2024 20:30:00,Big Eggplant Energy,2,GAYtors,3,,,
8/21/2024 20:30:00,Citrus on My Face,3,S*xual Tealing,1,,,
8/21/2024 20:50:00,Idina Mintzels,1,Red For Filth,4,,,
8/21/2024 20:50:00,Royal Pain in the Ice,4,bratz,0,,,
8/21/2024 21:10:00,C*Mquats,3,the dodgefathers,1,,,
8/21/2024 21:10:00,S*xual Tealing,1,Midnight Snack,2,,,
10/9/2024 18:40:00,Clementops,3,Froggays,2,,,
10/9/2024 18:40:00,Violetly Gay,2,Wet Dreams,2,,,
10/9/2024 19:00:00,Cardinal Sinners,3,Winona Ride Her,3,,,
10/9/2024 19:00:00,The Blue Ballers,4,Urine Trouble,1,,,
10/9/2024 19:20:00,Naughty Hotties,2,Twerkoise,1,,,
10/9/2024 19:20:00,Queermint,6,Lime and Punishment,0,,,
10/9/2024 19:40:00,Urine Trouble,0,Froggays,4,,,
10/9/2024 19:40:00,Winona Ride Her,1,Violetly Gay,3,,,
10/9/2024 20:00:00,Clementops,3,Wet Dreams,2,,,
10/9/2024 20:00:00,The Blue Ballers,4,Lime and Punishment,1,,,
10/9/2024 20:20:00,Queermint,2,Naughty Hotties,2,,,
10/9/2024 20:20:00,Twerkoise,3,Cardinal Sinners,2,,,
10/9/2024 20:40:00,Cuntolina Panthers,2,Washington Formanders,1,,,
10/9/2024 20:40:00,Mean Gay Packers,3,Vikinks,1,,,
10/9/2024 21:00:00,Cuntolina Panthers,3,Vikinks,1,,,
10/9/2024 21:00:00,Edgar Allen Hoes,3,Gay Sharks,2,,,
10/9/2024 21:20:00,Mean Gay Packers,4,Gay Sharks,1,,,
10/9/2024 21:20:00,Washington Formanders,0,Edgar Allen Hoes,4,,,
10/16/2024 18:40:00,Lime and Punishment,1,Urine Trouble,4,,,
10/16/2024 18:40:00,Naughty Hotties,3,The Blue Ballers,1,,,
10/16/2024 19:00:00,Cardinal Sinners,3,Queermint,2,,,
10/16/2024 19:00:00,Violetly Gay,2,Twerkoise,3,,,
10/16/2024 19:20:00,Froggays,4,Lime and Punishment,1,,,
10/16/2024 19:20:00,Wet Dreams,2,Winona Ride Her,2,,,
10/16/2024 19:40:00,Clementops,3,Urine Trouble,1,,,
10/16/2024 19:40:00,The Blue Ballers,1,Cardinal Sinners,3,,,
10/16/2024 20:00:00,Froggays,1,Naughty Hotties,4,,,
10/16/2024 20:00:00,Queermint,3,Violetly Gay,3,,,
10/16/2024 20:20:00,Twerkoise,3,Wet Dreams,1,,,
10/16/2024 20:20:00,Winona Ride Her,4,Clementops,0,,,
10/16/2024 20:40:00,Vikinks,2,Gay Sharks,2,,,
10/16/2024 20:40:00,Washington Formanders,1,Mean Gay Packers,3,,,
10/16/2024 21:00:00,Cuntolina Panthers,1,Edgar Allen Hoes,4,,,
10/16/2024 21:00:00,Washington Formanders,0,Vikinks,4,,,
10/16/2024 21:20:00,Gay Sharks,3,Cuntolina Panthers,1,,,
10/16/2024 21:20:00,Mean Gay Packers,3,Edgar Allen Hoes,1,,,
10/23/2024 18:40:00,Cardinal Sinners,2,Froggays,2,,,
10/23/2024 18:40:00,Wet Dreams,3,Queermint,4,,,
10/23/2024 19:00:00,Naughty Hotties,3,Urine Trouble,1,,,
10/23/2024 19:00:00,Violetly Gay,1,The Blue Ballers,5,,,
10/23/2024 19:20:00,Queermint,3,Winona Ride Her,5,,,
