number,value,datetime_start,datetime_complete,duration,params_beta,params_sigma,state
35,0.6853878374697215,2025-11-14 23:04:57.418815,2025-11-14 23:04:57.690828,0 days 00:00:00.272013,497.4866571635275,288.9462081325345,COMPLETE
36,0.6716649322309384,2025-11-14 23:04:57.690934,2025-11-14 23:04:57.965555,0 days 00:00:00.274621,597.4644799018951,794.9251021242435,COMPLETE
37,0.6729460771166824,2025-11-14 23:04:57.965663,2025-11-14 23:04:58.247729,0 days 00:00:00.282066,506.40604913012623,753.4112884788449,COMPLETE
38,0.6735873854657506,2025-11-14 23:04:58.247837,2025-11-14 23:04:58.524439,0 days 00:00:00.276602,546.8659180735095,688.1223869089378,COMPLETE
39,0.6795212350707113,2025-11-14 23:04:58.524562,2025-11-14 23:04:58.806362,0 days 00:00:00.281800,272.6096585400881,549.1060662909152,COMPLETE
40,0.6884828826448617,2025-11-14 23:04:58.806472,2025-11-14 23:04:59.079508,0 days 00:00:00.273036,165.90346922360965,351.6508632963023,COMPLETE
41,0.6720359865046124,2025-11-14 23:04:59.079622,2025-11-14 23:04:59.356027,0 days 00:00:00.276405,588.7782158928236,770.6936569515669,COMPLETE
42,0.6719739321381926,2025-11-14 23:04:59.356134,2025-11-14 23:04:59.638413,0 days 00:00:00.282279,567.5920982009726,788.8994173117752,COMPLETE
43,0.6716161534032458,2025-11-14 23:04:59.638527,2025-11-14 23:04:59.913553,0 days 00:00:00.275026,598.343850976859,798.4228018699899,COMPLETE
44,0.6731073382348836,2025-11-14 23:04:59.913668,2025-11-14 23:05:00.188718,0 days 00:00:00.275050,532.8906777742527,725.7810655066965,COMPLETE
45,0.6745092488987832,2025-11-14 23:05:00.188830,2025-11-14 23:05:00.469921,0 days 00:00:00.281091,329.9734169593303,766.193116504611,COMPLETE
46,0.6782295281362883,2025-11-14 23:05:00.470032,2025-11-14 23:05:00.776515,0 days 00:00:00.306483,598.1743685181167,474.5681474344041,COMPLETE
47,0.6742253469625809,2025-11-14 23:05:00.776627,2025-11-14 23:05:01.058795,0 days 00:00:00.282168,561.1814317056198,646.4548514558229,COMPLETE
48,0.6720985642979898,2025-11-14 23:05:01.058907,2025-11-14 23:05:01.333105,0 days 00:00:00.274198,537.0523953339007,799.9121009601942,COMPLETE
49,0.6738362954542811,2025-11-14 23:05:01.333219,2025-11-14 23:05:01.607745,0 days 00:00:00.274526,459.0038873262157,721.240706443698,COMPLETE
50,0.6753599126217517,2025-11-14 23:05:01.607849,2025-11-14 23:05:01.889978,0 days 00:00:00.282129,574.8046176598451,587.7015793171942,COMPLETE
51,0.6719332341337433,2025-11-14 23:05:01.890083,2025-11-14 23:05:02.168839,0 days 00:00:00.278756,595.817938464138,774.4706914964531,COMPLETE
52,0.6725961390408327,2025-11-14 23:05:02.168952,2025-11-14 23:05:02.450251,0 days 00:00:00.281299,574.7890339395891,737.751397412708,COMPLETE
53,0.672196094078931,2025-11-14 23:05:02.450363,2025-11-14 23:05:02.724540,0 days 00:00:00.274177,526.9160086091412,799.0668265538956,COMPLETE
54,0.6733989922224162,2025-11-14 23:05:02.724650,2025-11-14 23:05:02.999646,0 days 00:00:00.274996,548.6420485218249,698.689069961014,COMPLETE
55,0.6720498668619167,2025-11-14 23:05:02.999761,2025-11-14 23:05:03.282053,0 days 00:00:00.282292,599.0657053031003,763.7668847953064,COMPLETE
56,0.672837086373926,2025-11-14 23:05:03.282159,2025-11-14 23:05:03.557761,0 days 00:00:00.275602,491.0153850047303,772.4616903063325,COMPLETE
57,0.6725327422436083,2025-11-14 23:05:03.557881,2025-11-14 23:05:03.832365,0 days 00:00:00.274484,579.8238203921987,739.473712085505,COMPLETE
58,0.6734229581858703,2025-11-14 23:05:03.832473,2025-11-14 23:05:04.116762,0 days 00:00:00.284289,514.7319187879457,715.0373722852563,COMPLETE
59,0.6739148526902659,2025-11-14 23:05:04.116870,2025-11-14 23:05:04.391274,0 days 00:00:00.274404,552.2062777184643,666.8476317640415,COMPLETE
60,0.674532170421611,2025-11-14 23:05:04.391388,2025-11-14 23:05:04.675730,0 days 00:00:00.284342,312.4101673311568,778.0237053304451,COMPLETE
61,0.6718413651352496,2025-11-14 23:05:04.675841,2025-11-14 23:05:04.950635,0 days 00:00:00.274794,570.8102662903615,797.7887326632758,COMPLETE
62,0.6723533972962655,2025-11-14 23:05:04.950745,2025-11-14 23:05:05.227910,0 days 00:00:00.277165,576.3353534142992,754.144139855008,COMPLETE
63,0.6715917773006831,2025-11-14 23:05:05.228033,2025-11-14 23:05:05.529305,0 days 00:00:00.301272,599.3522014536371,799.8169083968675,COMPLETE
64,0.680294511652147,2025-11-14 23:05:05.529422,2025-11-14 23:05:05.803931,0 days 00:00:00.274509,598.7695764707523,411.01730309493706,COMPLETE
65,0.6722344293873653,2025-11-14 23:05:05.804042,2025-11-14 23:05:06.080979,0 days 00:00:00.276937,545.572477803867,782.4633788906675,COMPLETE
66,0.6725949303643179,2025-11-14 23:05:06.081089,2025-11-14 23:05:06.363179,0 days 00:00:00.282090,583.3190366006369,733.3873124467124,COMPLETE
67,0.6726759636567325,2025-11-14 23:05:06.363286,2025-11-14 23:05:06.639520,0 days 00:00:00.276234,530.4284106792483,757.983206563775,COMPLETE
68,0.6780164443551205,2025-11-14 23:05:06.639629,2025-11-14 23:05:06.921201,0 days 00:00:00.281572,84.10475166385115,699.8236353035202,COMPLETE
69,0.6722597983470101,2025-11-14 23:05:06.921320,2025-11-14 23:05:07.195569,0 days 00:00:00.274249,558.1790837601427,772.1266686510311,COMPLETE
70,0.6723445446962663,2025-11-14 23:05:07.195683,2025-11-14 23:05:07.473630,0 days 00:00:00.277947,509.5940054102725,799.4622833172783,COMPLETE
71,0.6719266008964857,2025-11-14 23:05:07.473757,2025-11-14 23:05:07.758745,0 days 00:00:00.284988,579.9731207904564,784.6816728952172,COMPLETE
72,0.6733877729279915,2025-11-14 23:05:07.758861,2025-11-14 23:05:08.035572,0 days 00:00:00.276711,399.85361838770115,799.3650022426281,COMPLETE
73,0.6723884469666624,2025-11-14 23:05:08.035689,2025-11-14 23:05:08.319900,0 days 00:00:00.284211,567.853121636233,756.4566629590884,COMPLETE
74,0.6762037676841158,2025-11-14 23:05:08.320006,2025-11-14 23:05:08.595874,0 days 00:00:00.275868,211.8389717566372,733.9152645088219,COMPLETE
75,0.6719548107713931,2025-11-14 23:05:08.595989,2025-11-14 23:05:08.872174,0 days 00:00:00.276185,585.2800561776625,779.1099971055366,COMPLETE
76,0.6767839473554568,2025-11-14 23:05:08.872287,2025-11-14 23:05:09.157740,0 days 00:00:00.285453,561.6916230331893,533.0990260046252,COMPLETE
77,0.6736997279870502,2025-11-14 23:05:09.157847,2025-11-14 23:05:09.434169,0 days 00:00:00.276322,540.8208281134664,684.3136604177512,COMPLETE
78,0.6722014201392885,2025-11-14 23:05:09.434282,2025-11-14 23:05:09.711922,0 days 00:00:00.277640,599.7901634841962,752.3011344127242,COMPLETE
79,0.6873869841447044,2025-11-14 23:05:09.712029,2025-11-14 23:05:09.994819,0 days 00:00:00.282790,374.1630653478359,270.8665448447807,COMPLETE
80,0.6720111821761957,2025-11-14 23:05:09.994939,2025-11-14 23:05:10.271470,0 days 00:00:00.276531,567.3936539088052,785.9805644404555,COMPLETE
81,0.6720711798567923,2025-11-14 23:05:10.271576,2025-11-14 23:05:10.556903,0 days 00:00:00.285327,587.4754728868836,768.7685615347945,COMPLETE
82,0.6721115735773058,2025-11-14 23:05:10.557012,2025-11-14 23:05:10.834449,0 days 00:00:00.277437,552.2129332824426,787.9743351280026,COMPLETE
83,0.6718033235609205,2025-11-14 23:05:10.834558,2025-11-14 23:05:11.112660,0 days 00:00:00.278102,572.4155925003641,799.9162827497281,COMPLETE
84,0.6724533813158323,2025-11-14 23:05:11.112769,2025-11-14 23:05:11.396584,0 days 00:00:00.283815,585.6758777596348,741.9122295644535,COMPLETE
85,0.6717903471684681,2025-11-14 23:05:11.396699,2025-11-14 23:05:11.672676,0 days 00:00:00.275977,574.0061506374913,799.9262414289707,COMPLETE
86,0.67266288762314,2025-11-14 23:05:11.672784,2025-11-14 23:05:11.950196,0 days 00:00:00.277412,523.6673547634557,763.3850609275521,COMPLETE
