number,value,datetime_start,datetime_complete,duration,params_beta,params_sigma,state
35,0.7331671278729702,2025-11-14 22:41:42.378283,2025-11-14 22:41:42.656564,0 days 00:00:00.278281,254.43851429490113,237.0609200552227,COMPLETE
36,0.7041194846830828,2025-11-14 22:41:42.656675,2025-11-14 22:41:42.933599,0 days 00:00:00.276924,298.87310217862,447.8854592184348,COMPLETE
37,0.7084410116404763,2025-11-14 22:41:42.933714,2025-11-14 22:41:43.212034,0 days 00:00:00.278320,258.40268850227835,430.58803686618535,COMPLETE
38,0.7096284658214242,2025-11-14 22:41:43.212151,2025-11-14 22:41:43.490171,0 days 00:00:00.278020,276.3848524771153,403.3843278787241,COMPLETE
39,0.7302245931876318,2025-11-14 22:41:43.490278,2025-11-14 22:41:43.766791,0 days 00:00:00.276513,154.49318157337248,345.46086095454797,COMPLETE
40,0.7617022779168615,2025-11-14 22:41:43.766898,2025-11-14 22:41:44.045119,0 days 00:00:00.278221,107.0682085438265,263.1878597067926,COMPLETE
41,0.7051878559909807,2025-11-14 22:41:44.045224,2025-11-14 22:41:44.322465,0 days 00:00:00.277241,295.0125403968105,437.7890237298195,COMPLETE
42,0.7052021045242252,2025-11-14 22:41:44.322578,2025-11-14 22:41:44.597971,0 days 00:00:00.275393,285.59648808932116,445.37475721323966,COMPLETE
43,0.7039796579962154,2025-11-14 22:41:44.598080,2025-11-14 22:41:44.875614,0 days 00:00:00.277534,299.2639337674929,449.34283411249584,COMPLETE
44,0.7086329178482518,2025-11-14 22:41:44.875724,2025-11-14 22:41:45.151224,0 days 00:00:00.275500,270.1736345663345,419.0754439611235,COMPLETE
45,0.7138119088563506,2025-11-14 22:41:45.151329,2025-11-14 22:41:45.430186,0 days 00:00:00.278857,179.9881853152579,435.9137985435879,COMPLETE
46,0.7165045681922527,2025-11-14 22:41:45.430292,2025-11-14 22:41:45.703459,0 days 00:00:00.273167,299.1886082302741,314.4033947643351,COMPLETE
47,0.7107743182713859,2025-11-14 22:41:45.703565,2025-11-14 22:41:45.981743,0 days 00:00:00.278178,282.74730298027544,386.02285477325955,COMPLETE
48,0.7057314103408121,2025-11-14 22:41:45.981856,2025-11-14 22:41:46.259978,0 days 00:00:00.278122,272.02328681506697,449.9633754000809,COMPLETE
49,0.7114298959239415,2025-11-14 22:41:46.260079,2025-11-14 22:41:46.538452,0 days 00:00:00.278373,237.33506103387361,417.1836276848741,COMPLETE
50,0.7126637052156354,2025-11-14 22:41:46.538558,2025-11-14 22:41:46.813059,0 days 00:00:00.274501,288.80205229326447,361.54232471549756,COMPLETE
51,0.7048474399072613,2025-11-14 22:41:46.813170,2025-11-14 22:41:47.090849,0 days 00:00:00.277679,298.1413059840613,439.36278812352214,COMPLETE
52,0.7067842048007762,2025-11-14 22:41:47.090962,2025-11-14 22:41:47.368467,0 days 00:00:00.277505,288.795126195373,424.06308225529494,COMPLETE
53,0.7060667432295367,2025-11-14 22:41:47.368578,2025-11-14 22:41:47.643678,0 days 00:00:00.275100,267.51822604850713,449.6111777307898,COMPLETE
54,0.7091458602118748,2025-11-14 22:41:47.643782,2025-11-14 22:41:47.920019,0 days 00:00:00.276237,277.17424378747774,407.78711248375583,COMPLETE
55,0.7051105696150202,2025-11-14 22:41:47.920130,2025-11-14 22:41:48.199261,0 days 00:00:00.279131,299.584757912489,434.902868664711,COMPLETE
56,0.7081933590804991,2025-11-14 22:41:48.199376,2025-11-14 22:41:48.475529,0 days 00:00:00.276153,251.56239333543573,438.5257042943052,COMPLETE
57,0.7065593624907875,2025-11-14 22:41:48.475641,2025-11-14 22:41:48.754001,0 days 00:00:00.278360,291.03280906319947,424.7807133689604,COMPLETE
58,0.7096951491070261,2025-11-14 22:41:48.754107,2025-11-14 22:41:49.031421,0 days 00:00:00.277314,262.10307501686475,414.59890511885675,COMPLETE
59,0.7102870315255096,2025-11-14 22:41:49.031533,2025-11-14 22:41:49.317767,0 days 00:00:00.286234,278.7583456526508,394.51984656835066,COMPLETE
60,0.7137820156975967,2025-11-14 22:41:49.317879,2025-11-14 22:41:49.594016,0 days 00:00:00.276137,172.18229659162523,440.84321055435214,COMPLETE
61,0.7047207779719892,2025-11-14 22:41:49.594125,2025-11-14 22:41:49.873936,0 days 00:00:00.279811,299.6657022250933,439.6607115404125,COMPLETE
62,0.7051368580211362,2025-11-14 22:41:49.874048,2025-11-14 22:41:50.153151,0 days 00:00:00.279103,291.4139564148937,441.3973674031713,COMPLETE
63,0.7039241806350187,2025-11-14 22:41:50.153262,2025-11-14 22:41:50.427748,0 days 00:00:00.274486,299.7120895349498,449.68130981006084,COMPLETE
64,0.7214175195325163,2025-11-14 22:41:50.427846,2025-11-14 22:41:50.724463,0 days 00:00:00.296617,283.7054807325282,287.92387628955714,COMPLETE
65,0.7055234877291998,2025-11-14 22:41:50.724571,2025-11-14 22:41:51.003378,0 days 00:00:00.278807,275.809990135052,449.40888046621257,COMPLETE
66,0.7060106071721463,2025-11-14 22:41:51.003483,2025-11-14 22:41:51.290815,0 days 00:00:00.287332,292.58623848917193,429.91956629746227,COMPLETE
67,0.7074842449187947,2025-11-14 22:41:51.290921,2025-11-14 22:41:51.568699,0 days 00:00:00.277778,269.07929363522146,432.4065055610057,COMPLETE
68,0.7232284419652825,2025-11-14 22:41:51.568827,2025-11-14 22:41:51.849272,0 days 00:00:00.280445,70.71322296171162,421.4720647000286,COMPLETE
69,0.7088631528758352,2025-11-14 22:41:51.849384,2025-11-14 22:41:52.127927,0 days 00:00:00.278543,288.8503001838593,400.77421231340526,COMPLETE
70,0.709975676989064,2025-11-14 22:41:52.128034,2025-11-14 22:41:52.403187,0 days 00:00:00.275153,259.8195579601211,413.606394896458,COMPLETE
71,0.704412530661785,2025-11-14 22:41:52.403299,2025-11-14 22:41:52.689050,0 days 00:00:00.285751,299.55031422749977,443.6173637063405,COMPLETE
72,0.7099902126082843,2025-11-14 22:41:52.689177,2025-11-14 22:41:53.004365,0 days 00:00:00.315188,211.04605261675607,449.73541760109504,COMPLETE
73,0.7065891132768211,2025-11-14 22:41:53.004484,2025-11-14 22:41:53.287487,0 days 00:00:00.283003,282.1352297907891,431.85694289962015,COMPLETE
