number,value,datetime_start,datetime_complete,duration,params_beta,params_sigma,state
35,0.6905270506215692,2025-11-14 22:59:19.907558,2025-11-14 22:59:20.184009,0 days 00:00:00.276451,254.43851429490113,237.0609200552227,COMPLETE
36,0.6822630773563906,2025-11-14 22:59:20.184111,2025-11-14 22:59:20.465072,0 days 00:00:00.280961,298.87310217862,447.8854592184348,COMPLETE
37,0.6835999274699676,2025-11-14 22:59:20.465186,2025-11-14 22:59:20.744613,0 days 00:00:00.279427,258.40268850227835,430.58803686618535,COMPLETE
38,0.6842580164254889,2025-11-14 22:59:20.744727,2025-11-14 22:59:21.026519,0 days 00:00:00.281792,276.3848524771153,403.3843278787241,COMPLETE
39,0.6889346170375067,2025-11-14 22:59:21.026704,2025-11-14 22:59:21.305515,0 days 00:00:00.278811,154.49318157337248,345.46086095454797,COMPLETE
40,0.6921084435858678,2025-11-14 22:59:21.305628,2025-11-14 22:59:21.586878,0 days 00:00:00.281250,107.0682085438265,263.1878597067926,COMPLETE
41,0.6826784010692216,2025-11-14 22:59:21.587005,2025-11-14 22:59:21.869093,0 days 00:00:00.282088,295.0125403968105,437.7890237298195,COMPLETE
42,0.6825791390646053,2025-11-14 22:59:21.869204,2025-11-14 22:59:22.144972,0 days 00:00:00.275768,285.59648808932116,445.37475721323966,COMPLETE
43,0.6822066747814347,2025-11-14 22:59:22.145072,2025-11-14 22:59:22.423986,0 days 00:00:00.278914,299.2639337674929,449.34283411249584,COMPLETE
44,0.6837988528108405,2025-11-14 22:59:22.424101,2025-11-14 22:59:22.779112,0 days 00:00:00.355011,270.1736345663345,419.0754439611235,COMPLETE
45,0.6848898786727288,2025-11-14 22:59:22.779222,2025-11-14 22:59:23.063007,0 days 00:00:00.283785,179.9881853152579,435.9137985435879,COMPLETE
46,0.6871188044761528,2025-11-14 22:59:23.063110,2025-11-14 22:59:23.341453,0 days 00:00:00.278343,299.1886082302741,314.4033947643351,COMPLETE
47,0.6847799764094757,2025-11-14 22:59:23.341569,2025-11-14 22:59:23.622722,0 days 00:00:00.281153,282.74730298027544,386.02285477325955,COMPLETE
48,0.6826589306311301,2025-11-14 22:59:23.622837,2025-11-14 22:59:23.904649,0 days 00:00:00.281812,272.02328681506697,449.9633754000809,COMPLETE
49,0.6845018136611445,2025-11-14 22:59:23.904752,2025-11-14 22:59:24.186561,0 days 00:00:00.281809,237.33506103387361,417.1836276848741,COMPLETE
50,0.6855763444280568,2025-11-14 22:59:24.186680,2025-11-14 22:59:24.465680,0 days 00:00:00.279000,288.80205229326447,361.54232471549756,COMPLETE
51,0.6825692300687343,2025-11-14 22:59:24.465797,2025-11-14 22:59:24.747632,0 days 00:00:00.281835,298.1413059840613,439.36278812352214,COMPLETE
52,0.6832740218891801,2025-11-14 22:59:24.747742,2025-11-14 22:59:25.029081,0 days 00:00:00.281339,288.795126195373,424.06308225529494,COMPLETE
53,0.682751606071191,2025-11-14 22:59:25.029193,2025-11-14 22:59:25.306205,0 days 00:00:00.277012,267.51822604850713,449.6111777307898,COMPLETE
54,0.6840805470792791,2025-11-14 22:59:25.306314,2025-11-14 22:59:25.587628,0 days 00:00:00.281314,277.17424378747774,407.78711248375583,COMPLETE
55,0.6826993744165183,2025-11-14 22:59:25.587742,2025-11-14 22:59:25.870948,0 days 00:00:00.283206,299.584757912489,434.902868664711,COMPLETE
56,0.6834390582752101,2025-11-14 22:59:25.871062,2025-11-14 22:59:26.152129,0 days 00:00:00.281067,251.56239333543573,438.5257042943052,COMPLETE
57,0.6832079690617373,2025-11-14 22:59:26.152242,2025-11-14 22:59:26.434049,0 days 00:00:00.281807,291.03280906319947,424.7807133689604,COMPLETE
58,0.6841172397028596,2025-11-14 22:59:26.434163,2025-11-14 22:59:26.716730,0 days 00:00:00.282567,262.10307501686475,414.59890511885675,COMPLETE
59,0.6845409938909063,2025-11-14 22:59:26.716841,2025-11-14 22:59:27.000289,0 days 00:00:00.283448,278.7583456526508,394.51984656835066,COMPLETE
60,0.6848422038742203,2025-11-14 22:59:27.000409,2025-11-14 22:59:27.280481,0 days 00:00:00.280072,172.18229659162523,440.84321055435214,COMPLETE
61,0.6824259092199244,2025-11-14 22:59:27.280599,2025-11-14 22:59:27.565867,0 days 00:00:00.285268,287.02678501793844,449.07863860969826,COMPLETE
62,0.6830185298840512,2025-11-14 22:59:27.565975,2025-11-14 22:59:27.847922,0 days 00:00:00.281947,289.4823792952441,430.8933916062534,COMPLETE
63,0.6821792871199137,2025-11-14 22:59:27.848033,2025-11-14 22:59:28.126656,0 days 00:00:00.278623,299.7120895349498,449.9237118320281,COMPLETE
64,0.6880612528980283,2025-11-14 22:59:28.126772,2025-11-14 22:59:28.408778,0 days 00:00:00.282006,299.45314509811215,287.92387628955714,COMPLETE
